name,description,imgUrl,price,category
Makeup Brush Set With Faux Leather Bag - High Quality & Durable,1 pc,https://www.bigbasket.com/media/uploads/p/l/40223633_1-beautiliss-professional-makeup-brush-set-with-faux-leather-bag-high-quality-durable.jpg,6.3,Beauty & Hygiene
"Loofah/Sponge Scrubber/Body Bath - Dual Side, Hangable, Green Leaf, BH-014 CRM",1 pc,https://www.bigbasket.com/media/uploads/p/l/40142796_2-bb-home-loofahsponge-scrubberbody-bath-dual-side-hangable-green-leaf-bh-014-crm.jpg,0.89,Beauty & Hygiene
Vitamin C Face Serum - Skin Brightening & Anti Ageing,30 g,https://www.bigbasket.com/media/uploads/p/l/40188239_2-spruce-shave-club-vitamin-c-face-serum-skin-brightening-anti-ageing.jpg,3.74,Beauty & Hygiene
Sheamoist Shea Butter & Real Strawberry 24 Hrs Moisturiser,60 g,https://www.bigbasket.com/media/uploads/p/l/40030574_2-lotus-herbals-sheamoist-shea-butter-real-strawberry-24-hrs-moisturiser.jpg,1.69,Beauty & Hygiene
"Hair Fall Control Cream - Brahmi & Almond Oil, Repairs Damages, Reduces Split Ends",100 g,https://www.bigbasket.com/media/uploads/p/l/40243503_1-mancode-hair-fall-control-cream-brahmi-almond-oil-repairs-damages-reduces-split-ends.jpg,2.1,Beauty & Hygiene
"Momento Fluer - Pour Femme, Fragrance Body Spray, Lusciously Subtle Aromas",250 ml,https://www.bigbasket.com/media/uploads/p/l/40254740_2-armaf-armaf-momento-fluer-pour-fele-fragrance-body-spray-250ml-84-fl-oz.jpg,2.74,Beauty & Hygiene
Reloaded Fundamental,16.5 g,https://www.bigbasket.com/media/uploads/p/l/40185422_3-makeup-revolution-reloaded-fundamental.jpg,7.35,Beauty & Hygiene
Cool Menthol 2 in 1 Anti-Dandruff Shampoo + Conditioner,180 ml,https://www.bigbasket.com/media/uploads/p/l/40120058_5-head-shoulders-shampoo-conditioner-2-in-1-cool-menthol.jpg,2.02,Beauty & Hygiene
"Cleasing Milk - Cucumber Aloe Vera, Removes Dirt, Refreshes Skin",210 ml,https://www.bigbasket.com/media/uploads/p/l/40246792_1-jeva-cleasing-milk-cucumber-aloe-vera-removes-dirt-refreshes-skin.jpg,1.22,Beauty & Hygiene
"Ultra-Comfort Pre-Shave Intense Oud - Infused With 9 Natural Oils, Protects Skin",50 ml,https://www.bigbasket.com/media/uploads/p/l/40230204_2-hajamat-ultra-comfort-pre-shave-intense-oud-infused-with-9-natural-oils-protects-skin.jpg,2.49,Beauty & Hygiene
"Hair Vitalizer Shampoo - For Stronger Roots, Provides Nourishment",250 ml,https://www.bigbasket.com/media/uploads/p/l/40246764_1-ustraa-hair-vitalizer-shampoo-for-stronger-roots-provides-nourishment.jpg,3.74,Beauty & Hygiene
Absolute Matte Melt Mini Liquid Lip Colour,2.4 ml,https://www.bigbasket.com/media/uploads/p/l/40213728_1-lakme-absolute-matte-melt-mini-liquid-lip-colour.jpg,3.0,Beauty & Hygiene
"Ayurveda Soothing Aloe Vera Gel - with the Goodness of Vitamin E, All Skin Types, 90% Pure",100 g,https://www.bigbasket.com/media/uploads/p/l/40137801_1-vlcc-ayurveda-soothing-aloe-vera-gel.jpg,0.73,Beauty & Hygiene
White Beauty Mineral Clay Instant Brightness Face Wash Foam,90 g,https://www.bigbasket.com/media/uploads/p/l/40191754_1-ponds-white-beauty-mineral-clay-instant-brightness-face-wash-foam.jpg,1.68,Beauty & Hygiene
Natural Soft Vanilla Lip Care,4.5 g,https://www.bigbasket.com/media/uploads/p/l/40007314_5-himalaya-natural-soft-vanilla-lip-care.jpg,1.2,Beauty & Hygiene
Pearl & Beauty Women Deodorant - Beautiful Underarms & 48H Protection,3x150 ml,https://www.bigbasket.com/media/uploads/p/l/1220077_1-nivea-pearl-beauty-women-deodorant-beautiful-underarms-48h-protection.jpg,3.06,Beauty & Hygiene
"Oxy Meal Syrup - For Heartburn, Gastric Issues, Stomach Pain",250 ml,https://www.bigbasket.com/media/uploads/p/l/40215390_1-basic-ayurveda-oxy-meal-syrup-for-heartburn-gastric-issues-stomach-pain.jpg,2.2,Beauty & Hygiene
Stardust Eye Shadow - Starry Night,7 g,https://www.bigbasket.com/media/uploads/p/l/40192695_1-biotique-natural-makeup-stardust-eye-shadow-starry-night.jpg,4.5,Beauty & Hygiene
Turmeric Extract 500mg Vegetarian Capsules - Anti-infective & Anti-inflammatory,60 pcs,https://www.bigbasket.com/media/uploads/p/l/40115066_4-natures-velvet-turmeric-extract-500mg-vegetarian-capsules-anti-infective-anti-inflalatory.jpg,7.28,Beauty & Hygiene
Magicare All Day Foundation SPF 15 - Gypsum,30 ml,https://www.bigbasket.com/media/uploads/p/l/40192630_1-biotique-natural-makeup-magicare-all-day-foundation-spf-15-gypsum.jpg,1.05,Beauty & Hygiene
"Primitive Forests Eau De Toilette Green Perfume - Party Wear, Unisex",250 ml,https://www.bigbasket.com/media/uploads/p/l/40203223_2-ajmal-primitive-forests-eau-de-toilette-green-perfume-party-wear-unisex.jpg,3.22,Beauty & Hygiene
"Sun & Pollution Defence Body Lotion - Red Raspberry & Avocado, No Parabens",400 ml,https://www.bigbasket.com/media/uploads/p/l/40237372_1-naturali-sun-pollution-defence-body-lotion-red-raspberry-avocado-no-parabens.jpg,2.59,Beauty & Hygiene
Pop Neon Nine Color Palette,8 g,https://www.bigbasket.com/media/uploads/p/l/40222364_1-nicka-k-pop-neon-nine-color-palette.jpg,4.0,Beauty & Hygiene
Peppermint 30 mg Capsules - Healthy Stomach,60 pcs,https://www.bigbasket.com/media/uploads/p/l/40218952_1-healthvit-peppermint-30-mg-capsules-healthy-stomach.jpg,3.5,Beauty & Hygiene
"Professional Salon Series Diamond Facial Kit - For Young & Flawless Skin Tone, Paraben Free",1 pc,https://www.bigbasket.com/media/uploads/p/l/40137818_2-vlcc-professional-salon-series-diamond-facial-kit.jpg,8.7,Beauty & Hygiene
"Bobby Pins/Hair Clips - Lightweight, Durable, For Women, Gold, DP100211",30 pcs,https://www.bigbasket.com/media/uploads/p/l/40247417_1-titania-hair-clips-length-7-cm-gold-coloured-set-of-30-pcs.jpg,1.29,Beauty & Hygiene
"Hair Styling Brush - With Rubber Handle, Durable, Medium, DP100149",1 pc,https://www.bigbasket.com/media/uploads/p/l/40247385_1-titania-styling-hair-brush-with-rubber-handle-245-cm-dia-4-cm-set-of-1-pc.jpg,3.29,Beauty & Hygiene
Dark Spot Reduction Face Wash For Clean & Clear Skin With 10x Vitamin C Effect,50 g,https://www.bigbasket.com/media/uploads/p/l/40008009_7-nivea-men-dark-spot-reduction-face-wash-for-clean-clear-skin-with-10x-vitamin-c-effect.jpg,0.84,Beauty & Hygiene
"Face Scrub - Apricot, Moisturises & Nourishes, Free from Paraben & Sulphate",75 g,https://www.bigbasket.com/media/uploads/p/l/40149690_2-inatur-apricot-face-scrub.jpg,1.22,Beauty & Hygiene
"Cargo - Blue, Deodorant, Long Lasting Fragrance",200 ml,https://www.bigbasket.com/media/uploads/p/l/40258550_2-cfs-cfs-deodorant-cargo-blue-200ml.jpg,1.88,Beauty & Hygiene
"Foot/Pedicure Filer - With Scrubber, Durable, Rustproof, Grey & Red, DP100185",1 pc,https://www.bigbasket.com/media/uploads/p/l/40247338_1-titania-men-softtouch-foot-rasp-with-filer-23-cm-grey-red-set-of-1-pc.jpg,3.99,Beauty & Hygiene
"Professional Salon Series Gold Facial Kit - For Bright & Radiant Complexion, Paraben Free",1 pc,https://www.bigbasket.com/media/uploads/p/l/40137819_2-vlcc-professional-salon-series-gold-facial-kit.jpg,7.5,Beauty & Hygiene
HMSC-42D Spectra Dual Colour Graduated Dressing Comb - Pink / Colour May Vary,1 pc,https://www.bigbasket.com/media/uploads/p/l/40164028_2-vega-spectra-dual-colour-graduated-dressing-comb-hmsc-42d-colour-may-vary.jpg,1.8,Beauty & Hygiene
"Peel - Off Mask - Charcoal, Exfoliate, Cleanse, Nurture, Sulfate & Paraben Free",100 g,https://www.bigbasket.com/media/uploads/p/l/40165588_2-fizzy-fern-charcoal-peel-off-mask.jpg,2.62,Beauty & Hygiene
Police Icon Eau de Parfum 40ml,40ml,https://www.bigbasket.com/media/uploads/p/l/40260777_2-police-police-icon-eau-de-parfum-40ml.jpg,20.79,Beauty & Hygiene
"Shades - Black, Eau De Toilette, Long-lasting Fragrance",100 ml,https://www.bigbasket.com/media/uploads/p/l/40254703_2-armaf-shades-black-eau-de-toilette-long-lasting-fragrance.jpg,8.1,Beauty & Hygiene
"Calciactiv Tablets - Advanced Natural Calcium Supplement, For Bone & Joint Health",30 pcs,https://www.bigbasket.com/media/uploads/p/l/40201471_1-baidyanath-nagpur-calciactiv-tablets-ayurvedic-calcium-supplement-for-bone-joint-health.jpg,1.28,Beauty & Hygiene
Calming Lavender Stress Relief & Relaxing Body Serum Lotion With Chamomile & Ylang Ylang Essential Oils,300 ml,https://www.bigbasket.com/media/uploads/p/l/40215002_1-joy-calming-lavender-stress-relief-relaxing-body-serum-lotion-with-chamomile-ylang-ylang-essential-oils.jpg,1.65,Beauty & Hygiene
Perfect Pout Gel Lip Liner,0.25 g,https://www.bigbasket.com/media/uploads/p/l/40142198_2-wet-n-wild-perfect-pout-gel-lip-liner.jpg,2.09,Beauty & Hygiene
"Nail Polish - Pink Voltage, Baby Pink, Apple Red, Blossom Pink, Rose Bonbon, Zero-chip, Heavily Pigmented",55 ml,https://www.bigbasket.com/media/uploads/p/l/40258335_1-juice-nail-polish-pink-voltage-baby-pink-apple-red-blossom-pink-rose-bonbon-zero-chip-heavily-pigmented.jpg,3.38,Beauty & Hygiene
"Masterchef's Handwash - Naturally Derived, Fights Germs",1.5 L,https://www.bigbasket.com/media/uploads/p/l/40128850_7-godrej-protekt-germ-fighter-liquid-handwash-refill-neem-aloe-vera.jpg,1.83,Beauty & Hygiene
"Fenugreek Methi Capsule - For Blood Sugar, Cholesterol, Hair & Skin",60 pcs,https://www.bigbasket.com/media/uploads/p/l/40218891_1-healthvit-fenugreek-methi-capsule-for-blood-sugar-cholesterol-hair-skin.jpg,1.4,Beauty & Hygiene
"Mr.Magic Powder to Liquid Handwash - Neem & Aloe Vera, Protection Against Germs",9 g,https://www.bigbasket.com/media/uploads/p/l/40149069_2-godrej-protekt-mr-magic-powder-to-liquid-germ-protection-hand-wash-refill-makes-200-ml-of-liquid.jpg,0.45,Beauty & Hygiene
Blush & Blend Kit Makeup Brushes,4 pcs,https://www.bigbasket.com/media/uploads/p/l/40213749_1-gubb-blush-blend-kit-makeup-brushes.jpg,5.57,Beauty & Hygiene
Veleno Perfume - Men,30 ml,https://www.bigbasket.com/media/uploads/p/l/40250877_1-bombay-shaving-company-veleno-perfume-for-men.jpg,5.01,Beauty & Hygiene
"Round Brush - E6-RB, Colour May Vary",1 pc,https://www.bigbasket.com/media/uploads/p/l/40089826_2-vega-round-brush-e6-rb-colour-may-vary.jpg,2.1,Beauty & Hygiene
Cayenne 450 mg Capsules - Detoxifies The Body,60 pcs,https://www.bigbasket.com/media/uploads/p/l/40218870_1-healthvit-cayenne-450-mg-capsules-detoxifies-the-body.jpg,3.5,Beauty & Hygiene
Natural Sleep Aid Supplement Tablets - Helps To Relax,120 pcs,https://www.bigbasket.com/media/uploads/p/l/40227393_2-himalayan-organics-natural-sleep-aid-supplement-tablets-helps-to-relax.jpg,7.01,Beauty & Hygiene
"Body Wash, Deep Impact, 3-In-1 Shower Gel For Body, Face & Hair, With Microfine Clay",250 ml,https://www.bigbasket.com/media/uploads/p/l/40130531_2-nivea-men-body-wash-deep-impact-3-in-1-shower-gel-for-body-face-hair-with-microfine-clay.jpg,1.29,Beauty & Hygiene
Acno Fight Anti-Pimple Face Wash,2x100 g,https://www.bigbasket.com/media/uploads/p/l/1211960_1-garnier-men-acno-fight-anti-pimple-face-wash.jpg,3.38,Beauty & Hygiene
Korean Ginseng 500 mg Capsule - Provides Energy,100 pcs,https://www.bigbasket.com/media/uploads/p/l/40189665_4-himalayan-organics-himalayan-organics-korean-red-ginseng-1000-mg-veg-caspules.jpg,5.98,Beauty & Hygiene
LIT pH LIP Balm - Rose All Day,2 g,https://www.bigbasket.com/media/uploads/p/l/40179678_3-myglal-lit-ph-lip-balm-rose-all-day.jpg,2.59,Beauty & Hygiene
AHA Glycolic Acid 8% Face Serum + Pro Vitamin B5 - Texture Correcting Skin Peel,20 ml,https://www.bigbasket.com/media/uploads/p/l/40214317_2-stbotanica-aha-glycolic-acid-8-face-serum-pro-vitamin-b5-texture-correcting-skin-peel.jpg,11.39,Beauty & Hygiene
"Bio Papaya Visibly Ageless Scrub Wash - Glowing Skin, For All Skin Types, 100% Botanical Extracts",200 ml,https://www.bigbasket.com/media/uploads/p/l/40179814_3-biotique-bio-papaya-scrub-wash.jpg,1.97,Beauty & Hygiene
Bio Musk Root Fresh Growth Nourishing Treatment Pack,900 g,https://www.bigbasket.com/media/uploads/p/l/40138094_5-biotique-bio-musk-root-fresh-growth-nourishing-treatment-pack.jpg,4.21,Beauty & Hygiene
"Moustache Comb - HMBC-198, Colour May Vary",1 pc,https://www.bigbasket.com/media/uploads/p/l/40164130_2-vega-moustache-comb-hmbc-198-colour-may-vary.jpg,0.72,Beauty & Hygiene
"Skin Toner - Cucumber Water, Clarifying & Balancing",210 ml,https://www.bigbasket.com/media/uploads/p/l/40246795_1-jeva-skin-toner-cucumber-water-clarifying-balancing.jpg,1.22,Beauty & Hygiene
Age Miracle Wrinkle Corrector SPF 18 PA++ Day Cream,35 g,https://www.bigbasket.com/media/uploads/p/l/302573_14-ponds-age-miracle-wrinkle-corrector-spf-18-pa-day-cream.jpg,3.84,Beauty & Hygiene
"Aqua Gel - Naturale Aloe, 9 to 5",50 g,https://www.bigbasket.com/media/uploads/p/l/40127432_1-lakme-aqua-gel-naturale-aloe-9-to-5.jpg,1.57,Beauty & Hygiene
"Red Onion Black Seed Oil Hair Mask - Helps Restores Natural Strength, Shine",200 ml,https://www.bigbasket.com/media/uploads/p/l/40264256_2-wow-skin-science-wow-skin-science-red-onion-black-seed-oil-hair-mask-with-red-onion-seed-oil-extract-and-black-seed-oil-200ml.jpg,3.44,Beauty & Hygiene
"Eyeshadow Applicator - Sponge-Tip, Wooden Handle, Standard Size, DP100172",1 pc,https://www.bigbasket.com/media/uploads/p/l/40247348_1-titania-eye-shadow-applicator-16-cm-set-of-1-pc.jpg,1.49,Beauty & Hygiene
"Loofah/Sponge Scrubber/Body Bath - Dual Side, Cream, Bh-060 Crm",1 pc,https://www.bigbasket.com/media/uploads/p/l/40185899_2-bb-home-loofahsponge-scrubberbody-bath-dual-side-cream-bh-060-crm.jpg,1.69,Beauty & Hygiene
"Global Edition, Bali Bliss",120 ml,https://www.bigbasket.com/media/uploads/p/l/40160481_4-set-wet-global-edition-bali-bliss.jpg,1.38,Beauty & Hygiene
Hair Styling Gel,100 g,https://www.bigbasket.com/media/uploads/p/l/40185451_2-qraa-men-hair-styling-gel.jpg,1.73,Beauty & Hygiene
High Definition Loose Powder,10 g,https://www.bigbasket.com/media/uploads/p/l/40138477_1-coloressence-high-definition-loose-powder.jpg,3.15,Beauty & Hygiene
"Romance Aromatherapy Diffuser Oil - Orange, Rose, Jasmine & Melissa",15 ml,https://www.bigbasket.com/media/uploads/p/l/40140519_4-oriental-botanics-romance-aromatherapy-diffuser-oil-orange-rose-jasmine-melissa.jpg,6.74,Beauty & Hygiene
"Bathing Bar Soap - Germ Protection, Original",8x125 g,https://www.bigbasket.com/media/uploads/p/l/1206304_6-dettol-bathing-bar-soap-germ-protection-original.jpg,4.56,Beauty & Hygiene
Bio Nut Walnut Purifying & Polishing Scrub,175 g,https://www.bigbasket.com/media/uploads/p/l/40138090_5-biotique-bio-nut-walnut-purifying-polishing-scrub.jpg,3.9,Beauty & Hygiene
Play Lube- Tingle,2x50 ml,https://www.bigbasket.com/media/uploads/p/l/1206345_9-durex-play-lube-tingle.jpg,7.03,Beauty & Hygiene
1981 Eau De Toilette Pour Homme,100 ml,https://www.bigbasket.com/media/uploads/p/l/40139296_8-guess-1981-eau-de-toilette-pour-hole.jpg,26.4,Beauty & Hygiene
Original Eau De Toilette,100 ml,https://www.bigbasket.com/media/uploads/p/l/40021229_11-police-original-eau-de-toilette.jpg,13.47,Beauty & Hygiene
Sugar Baby Nail Paints,10 ml,https://www.bigbasket.com/media/uploads/p/l/40203544_1-bella-voste-sugar-baby-nail-paints.jpg,0.81,Beauty & Hygiene
"Signature - Champion, Long Lasting, No Gas, Deodorant Bodyspray, Perfume For Men",154 ml,https://www.bigbasket.com/media/uploads/p/l/40158273_3-axe-signature-champion-long-lasting-no-gas-deodorant-bodyspray-perfume-for-men.jpg,1.82,Beauty & Hygiene
Pimple Clear & Germ Removal Face Wash,100 g,https://www.bigbasket.com/media/uploads/p/l/40001186_7-ponds-pimple-clear-germ-removal-face-wash.jpg,2.06,Beauty & Hygiene
"Body Deodorant Spray - Adrenaline, Long Lasting Upto 48 Hours, For Men",150 ml,https://www.bigbasket.com/media/uploads/p/l/40249005_1-axe-body-deodorant-spray-adrenaline-long-lasting-upto-48-hours-for-men.jpg,1.47,Beauty & Hygiene
Nutritive Solutions Daily Shine Conditioner - For Dull & Frizzy Hair,175 ml,https://www.bigbasket.com/media/uploads/p/l/262972_8-dove-daily-shine-hair-conditioner-with-nutritive-serum-for-smooth-shiny-hair.jpg,1.57,Beauty & Hygiene
Rose & Basil Soap,125 g,https://www.bigbasket.com/media/uploads/p/l/40165581_3-fizzy-fern-handmade-himalayan-rose-basil-soap-with-dried-petals.jpg,2.21,Beauty & Hygiene
"Nature Germ Protection Handwash - Activ Silver Formula, Fights Infections",750 ml,https://www.bigbasket.com/media/uploads/p/l/196985_15-lifebuoy-nature-germ-protection-handwash-refill.jpg,0.89,Beauty & Hygiene
"Relove Kohl Eyeliner - Long Lasting, Lightweight, Intense Pigmentation",1.2 g,https://www.bigbasket.com/media/uploads/p/l/40246925_1-makeup-revolution-relove-kohl-eyeliner-long-lasting-lightweight-intense-pigmentation.jpg,1.75,Beauty & Hygiene
Lip Cream Glossy Lip Color,3.3 g,https://www.bigbasket.com/media/uploads/p/l/40138505_1-coloressence-lip-cream-glossy-lip-color.jpg,3.9,Beauty & Hygiene
Chicory Root 900 mg Capsules - For Immunity Booster,60 pcs,https://www.bigbasket.com/media/uploads/p/l/40218874_1-healthvit-chicory-root-900-mg-capsules-for-ilunity-booster.jpg,4.9,Beauty & Hygiene
Tea Tree Targeted Skin Clearing Gel,15 g,https://www.bigbasket.com/media/uploads/p/l/40208233_1-biotique-tea-tree-targeted-skin-clearing-gel.jpg,2.7,Beauty & Hygiene
Pro-V Advanced Hair Fall Solution Shampoo - Strengthens Roots,340 ml,https://www.bigbasket.com/media/uploads/p/l/189785_9-pantene-advanced-hair-fall-solution-shampoo.jpg,2.29,Beauty & Hygiene
L Glutathione Reduced & Vitamin C From 1000 mg Amla Extract & Zinc,30 Tablets,https://www.bigbasket.com/media/uploads/p/l/40255428_1-carbamide-forte-l-glutathione-reduced-vitamin-c-from-1000-mg-amla-extract-zinc.jpg,7.99,Beauty & Hygiene
"Deep Cleanse Face Cleanser - Rice Water & Aloe, Hydrating & Gentle On Skin",100 ml,https://www.bigbasket.com/media/uploads/p/l/40246758_1-miracleherbsindia-deep-cleanse-face-cleanser-rice-water-aloe-hydrating-gentle-on-skin.jpg,1.72,Beauty & Hygiene
Faces Canada Sindoor Combo - Maroon & Red,Combo,https://www.bigbasket.com/media/uploads/p/l/1221221_1-faces-faces-canada-sindoor-combo-maroon-red.jpg,1.87,Beauty & Hygiene
"Max Sunscreen Spray - SPF 50, UVA/UVB Protection, Non Greasy",50 ml,https://www.bigbasket.com/media/uploads/p/l/40225197_1-beardo-max-sunscreen-spray-spf-50-uvauvb-protection-non-greasy.jpg,2.39,Beauty & Hygiene
"Face Cream - Ceramide 0.3% + Bisabolol, Repairs & Moisturize Dry Skin",30 g,https://www.bigbasket.com/media/uploads/p/l/40240703_1-minimalist-face-cream-ceramide-03-bisabolol-repairs-moisturize-dry-skin.jpg,3.89,Beauty & Hygiene
"4 Way Foot Filer - Pedicure Set For Dead Skin Callus, For Women & Men",1 pc,https://www.bigbasket.com/media/uploads/p/l/40229186_1-gubb-4-way-foot-filer-pedicure-set-for-dead-skin-callus-for-women-men.jpg,1.76,Beauty & Hygiene
"Coconut Body Lotion - Moisturising, Prevents Dryness,Enriched With Natural Oils, 24 Hours Hydration",300 ml,https://www.bigbasket.com/media/uploads/p/l/40250454_1-spantra-coconut-body-lotion-moisturising-prevents-drynessenriched-with-natural-oils-24-hours-hydration.jpg,2.0,Beauty & Hygiene
"Nutritive Solutions Hair Fall Rescue Shampoo - For Weak Hair, Reduces Hairfall by upto 98%",180 ml,https://www.bigbasket.com/media/uploads/p/l/266672_8-dove-hair-fall-rescue-shampoo.jpg,1.7,Beauty & Hygiene
"Smooth & Silky 2 in 1 Anti-Dandruff Shampoo + Conditioner, Upto 100% Dandruff Free",180 ml,https://www.bigbasket.com/media/uploads/p/l/40120528_6-head-shoulders-2-in-1-shampoo-conditioner-smooth-silky.jpg,1.8,Beauty & Hygiene
Restora Gold,450 ml,https://www.bigbasket.com/media/uploads/p/l/40229974_1-dabur-restora-gold.jpg,2.44,Beauty & Hygiene
"Bio Pineapple Oil Control Foaming Face Wash - For Normal to Oily Skin, 100% Botanical Extracts",50 ml,https://www.bigbasket.com/media/uploads/p/l/40076216_13-biotique-foaming-face-wash-bio-pineapple-for-oil-control.jpg,0.55,Beauty & Hygiene
"Hangable Dress Shaped Hand/Basin Towel - Green, Bh-038 Grn",1 pc,https://www.bigbasket.com/media/uploads/p/l/40142827_2-bb-home-hangable-dress-shaped-handbasin-towel-green-bh-038-grn.jpg,1.59,Beauty & Hygiene
Sandalwood Aroma Massage Oil,90 ml,https://www.bigbasket.com/media/uploads/p/l/30006527_3-soulflower-sandalwood-aroma-massage-oil.jpg,3.38,Beauty & Hygiene
"Pure Radiance Night Face Cream+ Anti Ageing & Face Brightening Cream, 50g",Combo,https://www.bigbasket.com/media/uploads/p/l/1221056_1-stbotanica-pure-radiance-night-face-cream-anti-ageing-face-brightening-cream-50g.jpg,31.77,Beauty & Hygiene
"XX2 Cologne Spray - No Gas Perfume, Spicy & Citrus , Skin Friendly, For Men",135 ml,https://www.bigbasket.com/media/uploads/p/l/30008983_2-engage-xx2-cologne-spray-for-men.jpg,1.73,Beauty & Hygiene
"Cherry Romantic Floral Hand Cream - With Shea Butter, Moisturises Deeply",35 g,https://www.bigbasket.com/media/uploads/p/l/40223763_1-swiss-beauty-cherry-romantic-floral-hand-cream-with-shea-butter-moisturises-deeply.jpg,0.69,Beauty & Hygiene
"Styling Fibre Hair Wax - Strong Hold, Natural Finish",60 g,https://www.bigbasket.com/media/uploads/p/l/40229257_1-set-wet-styling-fibre-hair-wax-strong-hold-natural-finish.jpg,2.24,Beauty & Hygiene
"Capsules - Jointneed-GB, Glucosamine with Ginkgo Biloba",60 pcs,https://www.bigbasket.com/media/uploads/p/l/40131838_3-healthvit-capsules-jointneed-gb-glucosamine-with-ginkgo-biloba.jpg,3.85,Beauty & Hygiene
"Hot Curl Brush - Small, E16-PRS, Colour May Vary",1 pc,https://www.bigbasket.com/media/uploads/p/l/40089850_2-vega-hot-curl-brush-small-e16-prs-colour-may-vary.jpg,2.85,Beauty & Hygiene
Matte Finish Kissproof Lipstick,3.8 g,https://www.bigbasket.com/media/uploads/p/l/40138965_1-glamgals-matte-finish-kissproof-lipstick.jpg,2.34,Beauty & Hygiene
"Nourishing Body Care - Cooling Gel Creme, 48 Hours Long Lasting Hydration",145 g,https://www.bigbasket.com/media/uploads/p/l/40224771_2-dove-nourishing-body-care-cooling-gel-creme-48-hours-long-lasting-hydration.jpg,1.51,Beauty & Hygiene
"Battery Powered Toothbrush - ProClinical 150 Sonic,With Replaceable Brush Head",1 pc,https://www.bigbasket.com/media/uploads/p/l/40162373_1-colgate-battery-powered-toothbrush-proclinical-150-sonicwith-replaceable-brush-head.jpg,7.49,Beauty & Hygiene
Clove 470 mg Capsules - Regulate Blood Sugar Levels,60 pcs,https://www.bigbasket.com/media/uploads/p/l/40218879_1-healthvit-clove-470-mg-capsules-regulate-blood-sugar-levels.jpg,3.5,Beauty & Hygiene
Pro Blusher & Highlighter - SB-880,15 g,https://www.bigbasket.com/media/uploads/p/l/40219928_1-swiss-beauty-pro-blusher-highlighter-sb-880.jpg,3.37,Beauty & Hygiene
Skin Naturals - Pure Active Neem Face Wash,100 g,https://www.bigbasket.com/media/uploads/p/l/301673_7-garnier-skin-naturals-pure-active-neem-face-wash.jpg,0.97,Beauty & Hygiene
"Wottagirl - Fine Fragrance, Exotic Eclipse",90 ml,https://www.bigbasket.com/media/uploads/p/l/40236189_2-layerr-wottagirl-fine-fragrance-exotic-eclipse.jpg,2.54,Beauty & Hygiene
"Pure Impact Shower Gel - With Micro Particles, Purifying, Freshness, For Body, Face & Hair",250 ml,https://www.bigbasket.com/media/uploads/p/l/298000_6-nivea-men-pure-impact-shower-gel-with-purifying-micro-particles-for-body-face-hair.jpg,1.29,Beauty & Hygiene
"Shwas Kuthar Ras Tablets - For Cough, Cold & Respiratory Issues",40 pcs,https://www.bigbasket.com/media/uploads/p/l/40215687_1-basic-ayurveda-shwas-kuthar-ras-tablets-for-cough-cold-respiratory-issues.jpg,0.8,Beauty & Hygiene
Makeup Brushes Kit - Trio,3 pcs,https://www.bigbasket.com/media/uploads/p/l/40213757_1-gubb-makeup-brushes-kit-trio.jpg,3.34,Beauty & Hygiene
"Canada - Weightless Matte Finish Foundation Mini, Ivory 01",18 ml,https://www.bigbasket.com/media/uploads/p/l/40188798_1-faces-canada-weightless-matte-finish-foundation-mini-ivory-01.jpg,1.29,Beauty & Hygiene
BB Home Loofah Green BH002 GRN 1 pc + Dettol Honey Shea Butter Gel 250 ml,Combo,https://www.bigbasket.com/media/uploads/p/l/1209688_1-bb-combo-bb-home-loofah-green-bh002-grn-1-pc-dettol-honey-shea-butter-gel-250-ml.jpg,2.35,Beauty & Hygiene
Cold Pressed Castor Oil 225 ml + Onion Biotin Shampoo - Restores Shine 300 ml,Combo,https://www.bigbasket.com/media/uploads/p/l/1220814_1-soulflower-cold-pressed-castor-oil-225-ml-onion-biotin-shampoo-restores-shine-300-ml.jpg,5.56,Beauty & Hygiene
Faces Canada Magneteyes Eyeliner & Natural Weightless Matte Compact Combo,Combo,https://www.bigbasket.com/media/uploads/p/l/1221223_1-faces-faces-canada-magneteyes-eyeliner-natural-weightless-matte-compact-combo.jpg,3.18,Beauty & Hygiene
Lip Primer Gel SPF 15,10 ml,https://www.bigbasket.com/media/uploads/p/l/40139050_1-glamgals-lip-primer-gel-spf-15.jpg,4.36,Beauty & Hygiene
Pure Strawberry Glycerine Soap,100 g,https://www.bigbasket.com/media/uploads/p/l/40147520_1-soulflower-pure-strawberry-glycerin-soap-cold-processed-100-natural-organic.jpg,1.88,Beauty & Hygiene
"Skincare Oil - For Ageing & Dehydrated Skin, Purcellin Oil, Improve Appearance of Scars",60 ml,https://www.bigbasket.com/media/uploads/p/l/40008136_9-bio-oil-skincare-oil-natural-remove-scars-stretch-marks-aging-dehydrated-uneven-skin-tone.jpg,4.31,Beauty & Hygiene
"Sheikh Al Shuyukh Luxe Edition Eau De Parfum - Imported, Long Lasting, Perfumed Body Spray, For Men & Women",100 ml,https://www.bigbasket.com/media/uploads/p/l/40251653_1-lattafa-sheikh-al-shuyukh-luxe-edition-eau-de-parfum-imported-long-lasting-perfumed-body-spray-for-men-women.jpg,10.0,Beauty & Hygiene
Popxo Makeup Collection - Mini Nail Kit,3 ml,https://www.bigbasket.com/media/uploads/p/l/40234786_1-myglal-popxo-makeup-collection-mini-nail-kit.jpg,1.86,Beauty & Hygiene
