name,description,imgUrl,price,category
Chilli Garlic Grissini Breadsticks - 100% Wholewheat,100 g,https://www.bigbasket.com/media/uploads/p/l/40169956_3-the-bakers-dozen-chilli-garlic-grissini-breadsticks-100-wholewheat.jpg,0.89,"Bakery, Cakes & Dairy"
Cake Rusk - Chocolate,150 g,https://www.bigbasket.com/media/uploads/p/l/40129901_3-fresho-signature-cake-rusk-chocolate.jpg,0.75,"Bakery, Cakes & Dairy"
"Tul-C Tulsi Powder 250 mg Capsules - Cough & Cold, Antioxidant",60 pcs,https://www.bigbasket.com/media/uploads/p/l/40218986_1-healthvit-tul-c-tulsi-powder-250-mg-capsules-cough-cold-antioxidant.jpg,1.4,Beauty & Hygiene
"Relove H2O Hydrate Fix Mist Spray - Refreshing, Long Lasting, Moisturises Skin",50 ml,https://www.bigbasket.com/media/uploads/p/l/40246923_1-makeup-revolution-relove-h2o-hydrate-fix-mist-spray-refreshing-long-lasting-moisturises-skin.jpg,4.19,Beauty & Hygiene
Ultime Pro Illuminating Powder 01,9 g,https://www.bigbasket.com/media/uploads/p/l/40146516_1-faces-ultime-pro-illuminating-powder-01.jpg,4.87,Beauty & Hygiene
HD Matte Eye Shade,3.5 g,https://www.bigbasket.com/media/uploads/p/l/40138468_2-coloressence-hd-matte-eye-shade.jpg,1.79,Beauty & Hygiene
"Enigma Perfume Spray - Awaken Fusion Fervour, For Woman",150 ml,https://www.bigbasket.com/media/uploads/p/l/40257454_1-ks-enigma-perfume-spray-awaken-fusion-fervour-for-woman.jpg,1.97,Beauty & Hygiene
"Soy Protein Dietary Supplement Powder - Vegetarian & Natural, Muscle Strength",1 kg,https://www.bigbasket.com/media/uploads/p/l/40115085_3-natures-velvet-soy-protein-dietary-supplement-powder-vegetarian-natural-muscle-strength.jpg,8.5,Beauty & Hygiene
Absolute 3D Matte Lipstick - Romeo Red,3.6 g,https://www.bigbasket.com/media/uploads/p/l/40188684_2-lakme-absolute-3d-matte-lipstick-romeo-red.jpg,6.0,Beauty & Hygiene
Mascara - Black Eyeconic Curling,9 ml,https://www.bigbasket.com/media/uploads/p/l/40001657_4-lakme-mascara-black-eyeconic-curling.jpg,3.28,Beauty & Hygiene
"Macadamia Nourishing Lip Balm - Rich, Creamy Texture, Relaxing",5 g,https://www.bigbasket.com/media/uploads/p/l/40242633_2-puresense-macadamia-nourishing-lip-balm-rich-creamy-texture-relaxing.jpg,2.06,Beauty & Hygiene
Professional Buffer Foundation Wooden Brush,1 pc,https://www.bigbasket.com/media/uploads/p/l/40213751_1-gubb-professional-buffer-foundation-wooden-brush.jpg,2.24,Beauty & Hygiene
Anti-Oxidant Boost Eye Gel,30 ml,https://www.bigbasket.com/media/uploads/p/l/40181195_4-stbotanica-anti-oxidant-boost-eye-gel.jpg,6.99,Beauty & Hygiene
Bright Beauty Spot-less Glow SPF 15 Day Cream,35 g,https://www.bigbasket.com/media/uploads/p/l/40002056_10-ponds-bright-beauty-spot-less-glow-spf-15-day-cream.jpg,1.16,Beauty & Hygiene
Anti-Cavity Natural Ayurvedic Clove Oil Toothpaste,80 g,https://www.bigbasket.com/media/uploads/p/l/40111813_2-lever-ayush-anti-cavity-natural-ayurvedic-clove-oil-toothpaste.jpg,0.5,Beauty & Hygiene
"Gel Bathing Bar - Men, Refreshing Pulse",125 g,https://www.bigbasket.com/media/uploads/p/l/20004248_4-fiama-gel-bathing-bar-men-refreshing-pulse.jpg,0.77,Beauty & Hygiene
HD Matte Lipstick SB-212-01 - Pigmented & Provides Flawless Coverage,3.5 g,https://www.bigbasket.com/media/uploads/p/l/40223775_1-swiss-beauty-hd-matte-lipstick-sb-212-01-pigmented-provides-flawless-coverage.jpg,2.24,Beauty & Hygiene
"Hyaluronic Acid 2% + Vitamin B5 Hydrating Face Serum - For Intense Hydration, Plump & Glowing Skin",20 ml,https://www.bigbasket.com/media/uploads/p/l/40221679_1-stbotanica-hyaluronic-acid-2-vitamin-b5-hydrating-face-serum-for-intense-hydration-plump-glowing-skin.jpg,7.5,Beauty & Hygiene
"Papaya Face Cream - With Turmeric & Aloevera Extract, Anti Blemish",50 ml,https://www.bigbasket.com/media/uploads/p/l/40227400_2-himalayan-organics-papaya-face-cream-with-turmeric-aloevera-extract-anti-blemish.jpg,5.48,Beauty & Hygiene
Olive & Macadamia Mega Moisturizing Hair Mask,250 g,https://www.bigbasket.com/media/uploads/p/l/40140103_1-plum-olive-macadamia-mega-moisturizing-hair-mask.jpg,5.06,Beauty & Hygiene
Phalasarpi - Uterine Disorders,100 ml,https://www.bigbasket.com/media/uploads/p/l/40190970_2-sri-sri-tattva-phalasarpi-uterine-disorders.jpg,1.12,Beauty & Hygiene
"Green Mask Stick - PL107G, Provides, Deep Cleansing, Exfoliation, Blackhead Removal",40 g,https://www.bigbasket.com/media/uploads/p/l/40241086_1-pink-line-green-mask-stick-pl107g-provides-deep-cleansing-exfoliation-blackhead-removal.jpg,1.5,Beauty & Hygiene
Classic Deodorant Spray - For Men,150 ml,https://www.bigbasket.com/media/uploads/p/l/40080770_4-david-beckham-classic-deodorant-spray-for-men.jpg,3.74,Beauty & Hygiene
"Rouat Ajial Eau De Parfum - Imported, Long Lasting, Perfumed Body Spray, For Men & Women",100 ml,https://www.bigbasket.com/media/uploads/p/l/40251708_1-lattafa-rouat-ajial-eau-de-parfum-imported-long-lasting-perfumed-body-spray-for-men-women.jpg,10.0,Beauty & Hygiene
"SPF 24 PA++ UVA,UVB Moisturiser - All Skin Types, Peach Milk",120 ml,https://www.bigbasket.com/media/uploads/p/l/40113111_4-lakme-peach-milk-moisturiser-spf-24-pa-sunscreen-lotion.jpg,1.82,Beauty & Hygiene
